Age,Gender,Label
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
14,M,2
15,F,2
13,F,2
42,M,5
36,M,5
46,F,6
23,F,6
10,M,3
8,F,4
3,M,0
1,F,0
11,M,3
10,M,3
5,M,3
6,M,3
11,F,4
8,F,4
9,M,3
3,F,0
